Source,Topic,Content,Code
models,Models,"A model is the single, definitive source of information about your data. It
contains the essential fields and behaviors of the data you’re storing.
Generally, each model maps to a single database table.

The basics:

Each model is a Python class that subclasses
django.db.models.Model.

Each attribute of the model represents a database field.

With all of this, Django gives you an automatically-generated
database-access API; see Making queries.",
models,Quick example,"This example model defines a Person, which has a first_name and
last_name:

first_name and last_name are fields of the model. Each field is
specified as a class attribute, and each attribute maps to a database column.

The above Person model would create a database table like this:

Some technical notes:

The name of the table, myapp_person, is automatically derived from
some model metadata but can be overridden. See Table names for more
details.

An id field is added automatically, but this behavior can be
overridden. See Automatic primary key fields.

The CREATE TABLE SQL in this example is formatted using PostgreSQL
syntax, but it’s worth noting Django uses SQL tailored to the database
backend specified in your settings file.","from django.db import models


class Person(models.Model):
    first_name = models.CharField(max_length=30)
    last_name = models.CharField(max_length=30)


CREATE TABLE myapp_person (
    ""id"" bigint NOT NULL PRIMARY KEY GENERATED BY DEFAULT AS IDENTITY,
    ""first_name"" varchar(30) NOT NULL,
    ""last_name"" varchar(30) NOT NULL
);"
models,Using models,"Once you have defined your models, you need to tell Django you’re going to
use those models. Do this by editing your settings file and changing the
INSTALLED_APPS setting to add the name of the module that contains
your models.py.

For example, if the models for your application live in the module
myapp.models (the package structure that is created for an
application by the manage.py startapp script),
INSTALLED_APPS should read, in part:

When you add new apps to INSTALLED_APPS, be sure to run
manage.py migrate, optionally making migrations
for them first with manage.py makemigrations.","INSTALLED_APPS = [
    # ...
    ""myapp"",
    # ...
]"
models,Fields,"The most important part of a model – and the only required part of a model –
is the list of database fields it defines. Fields are specified by class
attributes. Be careful not to choose field names that conflict with the
models API like clean, save, or
delete.

Example:","from django.db import models


class Musician(models.Model):
    first_name = models.CharField(max_length=50)
    last_name = models.CharField(max_length=50)
    instrument = models.CharField(max_length=100)


class Album(models.Model):
    artist = models.ForeignKey(Musician, on_delete=models.CASCADE)
    name = models.CharField(max_length=100)
    release_date = models.DateField()
    num_stars = models.IntegerField()"
models,Field types,"Each field in your model should be an instance of the appropriate
Field class. Django uses the field class types to
determine a few things:

The column type, which tells the database what kind of data to store (e.g.
INTEGER, VARCHAR, TEXT).

The default HTML widget to use when rendering a
form field (e.g. <input type=""text"">, <select>).

The minimal validation requirements, used in Django’s admin and in
automatically-generated forms.

Django ships with dozens of built-in field types; you can find the complete
list in the model field reference. You can easily
write your own fields if Django’s built-in ones don’t do the trick; see
How to create custom model fields.",
models,Field options,"Each field takes a certain set of field-specific arguments (documented in the
model field reference). For example,
CharField (and its subclasses) require a
max_length argument which specifies the
size of the VARCHAR database field used to store the data.

There’s also a set of common arguments available to all field types. All are
optional. They’re fully explained in the reference, but here’s a quick summary of the most
often-used ones:

If True, Django will store empty values as NULL in the database.
Default is False.

If True, the field is allowed to be blank. Default is False.

Note that this is different than null.
null is purely database-related, whereas
blank is validation-related. If a field has
blank=True, form validation will
allow entry of an empty value. If a field has blank=False, the field will be required.

A sequence of 2-value tuples, a mapping, an
enumeration type, or a callable (that
expects no arguments and returns any of the previous formats), to use as
choices for this field. If this is given, the default form widget will be a
select box instead of the standard text field and will limit choices to the
choices given.

A choices list looks like this:

Note

A new migration is created each time the order of choices changes.

The first element in each tuple is the value that will be stored in the
database. The second element is displayed by the field’s form widget.

Given a model instance, the display value for a field with choices can
be accessed using the get_FOO_display()
method. For example:

You can also use enumeration classes to define choices in a concise
way:

Further examples are available in the model field reference.

The default value for the field. This can be a value or a callable
object. If callable it will be called every time a new object is
created.

The database-computed default value for the field. This can be a literal
value or a database function.

If both db_default and Field.default are set, default will
take precedence when creating instances in Python code. db_default will
still be set at the database level and will be used when inserting rows
outside of the ORM or when adding a new field in a migration.

Extra “help” text to be displayed with the form widget. It’s useful for
documentation even if your field isn’t used on a form.

If True, this field is the primary key for the model.

If you don’t specify primary_key=True for
any fields in your model, Django will automatically add a field to hold
the primary key, so you don’t need to set
primary_key=True on any of your fields
unless you want to override the default primary-key behavior. For more,
see Automatic primary key fields.

The primary key field is read-only. If you change the value of the primary
key on an existing object and then save it, a new object will be created
alongside the old one. For example:

If True, this field must be unique throughout the table.

Again, these are just short descriptions of the most common field options. Full
details can be found in the common model field option reference.","YEAR_IN_SCHOOL_CHOICES = [
    (""FR"", ""Freshman""),
    (""SO"", ""Sophomore""),
    (""JR"", ""Junior""),
    (""SR"", ""Senior""),
    (""GR"", ""Graduate""),
]


from django.db import models


class Person(models.Model):
    SHIRT_SIZES = {
        ""S"": ""Small"",
        ""M"": ""Medium"",
        ""L"": ""Large"",
    }
    name = models.CharField(max_length=60)
    shirt_size = models.CharField(max_length=1, choices=SHIRT_SIZES)


>>> p = Person(name=""Fred Flintstone"", shirt_size=""L"")
>>> p.save()
>>> p.shirt_size
'L'
>>> p.get_shirt_size_display()
'Large'


from django.db import models


class Runner(models.Model):
    MedalType = models.TextChoices(""MedalType"", ""GOLD SILVER BRONZE"")
    name = models.CharField(max_length=60)
    medal = models.CharField(blank=True, choices=MedalType, max_length=10)


from django.db import models


class Fruit(models.Model):
    name = models.CharField(max_length=100, primary_key=True)


>>> fruit = Fruit.objects.create(name=""Apple"")
>>> fruit.name = ""Pear""
>>> fruit.save()
>>> Fruit.objects.values_list(""name"", flat=True)
<QuerySet ['Apple', 'Pear']>"
models,Automatic primary key fields,"By default, Django gives each model an auto-incrementing primary key with the
type specified per app in AppConfig.default_auto_field or globally in the
DEFAULT_AUTO_FIELD setting. For example:

If you’d like to specify a custom primary key, specify primary_key=True on one of your fields. If Django sees you’ve explicitly
set Field.primary_key, it won’t add the automatic id column.

Each model requires exactly one field to have primary_key=True (either explicitly declared or automatically added).",id = models.BigAutoField(primary_key=True)
models,Verbose field names,"Each field type, except for ForeignKey,
ManyToManyField and
OneToOneField, takes an optional first positional
argument – a verbose name. If the verbose name isn’t given, Django will
automatically create it using the field’s attribute name, converting
underscores to spaces.

In this example, the verbose name is ""person's first name"":

In this example, the verbose name is ""first name"":

ForeignKey,
ManyToManyField and
OneToOneField require the first argument to be a
model class, so use the verbose_name keyword argument:

The convention is not to capitalize the first letter of the
verbose_name. Django will automatically capitalize the first
letter where it needs to.","first_name = models.CharField(""person's first name"", max_length=30)


first_name = models.CharField(max_length=30)


poll = models.ForeignKey(
    Poll,
    on_delete=models.CASCADE,
    verbose_name=""the related poll"",
)
sites = models.ManyToManyField(Site, verbose_name=""list of sites"")
place = models.OneToOneField(
    Place,
    on_delete=models.CASCADE,
    verbose_name=""related place"",
)"
models,Relationships,"Clearly, the power of relational databases lies in relating tables to each
other. Django offers ways to define the three most common types of database
relationships: many-to-one, many-to-many and one-to-one.

To define a many-to-one relationship, use django.db.models.ForeignKey.
You use it just like any other Field type: by
including it as a class attribute of your model.

ForeignKey requires a positional argument: the class
to which the model is related.

For example, if a Car model has a Manufacturer – that is, a
Manufacturer makes multiple cars but each Car only has one
Manufacturer – use the following definitions:

You can also create recursive relationships
(an object with a many-to-one relationship to itself) and relationships
to models not yet defined; see the model field
reference for details.

It’s suggested, but not required, that the name of a
ForeignKey field (manufacturer in the example
above) be the name of the model, lowercase. You can call the field whatever you
want. For example:

See also

ForeignKey fields accept a number of extra
arguments which are explained in the model field reference. These options help define how the relationship
should work; all are optional.

For details on accessing backwards-related objects, see the Following
relationships backward example.

For sample code, see the Many-to-one relationship model example.

To define a many-to-many relationship, use
ManyToManyField. You use it just like any other
Field type: by including it as a class attribute of
your model.

ManyToManyField requires a positional argument: the
class to which the model is related.

For example, if a Pizza has multiple Topping objects – that is, a
Topping can be on multiple pizzas and each Pizza has multiple toppings
– here’s how you’d represent that:

As with ForeignKey, you can also create
recursive relationships (an object with a
many-to-many relationship to itself) and relationships to models not yet
defined.

It’s suggested, but not required, that the name of a
ManyToManyField (toppings in the example above)
be a plural describing the set of related model objects.

It doesn’t matter which model has the
ManyToManyField, but you should only put it in one
of the models – not both.

Generally, ManyToManyField instances should go in
the object that’s going to be edited on a form. In the above example,
toppings is in Pizza (rather than Topping having a pizzas
ManyToManyField ) because it’s more natural to think
about a pizza having toppings than a topping being on multiple pizzas. The way
it’s set up above, the Pizza form would let users select the toppings.

See also

See the Many-to-many relationship model example for a full example.

ManyToManyField fields also accept a number of
extra arguments which are explained in the model field reference. These options help define how the relationship
should work; all are optional.

When you’re only dealing with many-to-many relationships such as mixing and
matching pizzas and toppings, a standard
ManyToManyField is all you need. However, sometimes
you may need to associate data with the relationship between two models.

For example, consider the case of an application tracking the musical groups
which musicians belong to. There is a many-to-many relationship between a
person and the groups of which they are a member, so you could use a
ManyToManyField to represent this relationship.
However, there is a lot of detail about the membership that you might want to
collect, such as the date at which the person joined the group.

For these situations, Django allows you to specify the model that will be used
to govern the many-to-many relationship. You can then put extra fields on the
intermediate model. The intermediate model is associated with the
ManyToManyField using the
through argument to point to the model
that will act as an intermediary. For our musician example, the code would look
something like this:

When you set up the intermediary model, you explicitly specify foreign
keys to the models that are involved in the many-to-many relationship. This
explicit declaration defines how the two models are related.

If you don’t want multiple associations between the same instances, add a
UniqueConstraint including the from and to
fields. Django’s automatically generated many-to-many tables include such a
constraint.

There are a few restrictions on the intermediate model:

Your intermediate model must contain one - and only one - foreign key
to the source model (this would be Group in our example), or you must
explicitly specify the foreign keys Django should use for the relationship
using ManyToManyField.through_fields. If you have more than one foreign key and
through_fields is not specified, a validation error will be raised. A
similar restriction applies to the foreign key to the target model (this
would be Person in our example).

For a model which has a many-to-many relationship to itself through an
intermediary model, two foreign keys to the same model are permitted, but
they will be treated as the two (different) sides of the many-to-many
relationship. If through_fields is not specified,
the first foreign key will be taken to represent the source side of the
ManyToManyField, while the second will be taken to represent the target
side. If there are more than two foreign keys though, you must specify
through_fields to explicitly indicate which foreign
keys to use, otherwise a validation error will be raised.

Now that you have set up your ManyToManyField to use
your intermediary model (Membership, in this case), you’re ready to start
creating some many-to-many relationships. You do this by creating instances of
the intermediate model:

You can also use add(),
create(), or
set() to create
relationships, as long as you specify through_defaults for any required
fields:

You may prefer to create instances of the intermediate model directly.

If the custom through table defined by the intermediate model does not enforce
uniqueness on the (model1, model2) pair, allowing multiple values, the
remove() call will
remove all intermediate model instances:

The clear()
method can be used to remove all many-to-many relationships for an instance:

Once you have established the many-to-many relationships, you can issue
queries. Just as with normal many-to-many relationships, you can query using
the attributes of the many-to-many-related model:

As you are using an intermediate model, you can also query on its attributes:

If you need to access a membership’s information you may do so by directly
querying the Membership model:

Another way to access the same information is by querying the
many-to-many reverse relationship from a
Person object:

To define a one-to-one relationship, use
OneToOneField. You use it just like any other
Field type: by including it as a class attribute of your model.

This is most useful on the primary key of an object when that object “extends”
another object in some way.

OneToOneField requires a positional argument: the
class to which the model is related.

For example, if you were building a database of “places”, you would
build pretty standard stuff such as address, phone number, etc. in the
database. Then, if you wanted to build a database of restaurants on
top of the places, instead of repeating yourself and replicating those
fields in the Restaurant model, you could make Restaurant have
a OneToOneField to Place (because a
restaurant “is a” place; in fact, to handle this you’d typically use
inheritance, which involves an implicit
one-to-one relation).

As with ForeignKey, a recursive relationship can be defined and references to as-yet
undefined models can be made.

See also

See the One-to-one relationship model example for a full example.

OneToOneField fields also accept an optional
parent_link argument.

OneToOneField classes used to automatically become
the primary key on a model. This is no longer true (although you can manually
pass in the primary_key argument if you like).
Thus, it’s now possible to have multiple fields of type
OneToOneField on a single model.","from django.db import models


class Manufacturer(models.Model):
    # ...
    pass


class Car(models.Model):
    manufacturer = models.ForeignKey(Manufacturer, on_delete=models.CASCADE)
    # ...


class Car(models.Model):
    company_that_makes_it = models.ForeignKey(
        Manufacturer,
        on_delete=models.CASCADE,
    )
    # ...


from django.db import models


class Topping(models.Model):
    # ...
    pass


class Pizza(models.Model):
    # ...
    toppings = models.ManyToManyField(Topping)


from django.db import models


class Person(models.Model):
    name = models.CharField(max_length=128)

    def __str__(self):
        return self.name


class Group(models.Model):
    name = models.CharField(max_length=128)
    members = models.ManyToManyField(Person, through=""Membership"")

    def __str__(self):
        return self.name


class Membership(models.Model):
    person = models.ForeignKey(Person, on_delete=models.CASCADE)
    group = models.ForeignKey(Group, on_delete=models.CASCADE)
    date_joined = models.DateField()
    invite_reason = models.CharField(max_length=64)

    class Meta:
        constraints = [
            models.UniqueConstraint(
                fields=[""person"", ""group""], name=""unique_person_group""
            )
        ]


>>> ringo = Person.objects.create(name=""Ringo Starr"")
>>> paul = Person.objects.create(name=""Paul McCartney"")
>>> beatles = Group.objects.create(name=""The Beatles"")
>>> m1 = Membership(
...     person=ringo,
...     group=beatles,
...     date_joined=date(1962, 8, 16),
...     invite_reason=""Needed a new drummer."",
... )
>>> m1.save()
>>> beatles.members.all()
<QuerySet [<Person: Ringo Starr>]>
>>> ringo.group_set.all()
<QuerySet [<Group: The Beatles>]>
>>> m2 = Membership.objects.create(
...     person=paul,
...     group=beatles,
...     date_joined=date(1960, 8, 1),
...     invite_reason=""Wanted to form a band."",
... )
>>> beatles.members.all()
<QuerySet [<Person: Ringo Starr>, <Person: Paul McCartney>]>


>>> beatles.members.add(john, through_defaults={""date_joined"": date(1960, 8, 1)})
>>> beatles.members.create(
...     name=""George Harrison"", through_defaults={""date_joined"": date(1960, 8, 1)}
... )
>>> beatles.members.set(
...     [john, paul, ringo, george], through_defaults={""date_joined"": date(1960, 8, 1)}
... )


>>> Membership.objects.create(
...     person=ringo,
...     group=beatles,
...     date_joined=date(1968, 9, 4),
...     invite_reason=""You've been gone for a month and we miss you."",
... )
>>> beatles.members.all()
<QuerySet [<Person: Ringo Starr>, <Person: Paul McCartney>, <Person: Ringo Starr>]>
>>> # This deletes both of the intermediate model instances for Ringo Starr
>>> beatles.members.remove(ringo)
>>> beatles.members.all()
<QuerySet [<Person: Paul McCartney>]>


>>> # Beatles have broken up
>>> beatles.members.clear()
>>> # Note that this deletes the intermediate model instances
>>> Membership.objects.all()
<QuerySet []>


# Find all the groups with a member whose name starts with 'Paul'
>>> Group.objects.filter(members__name__startswith=""Paul"")
<QuerySet [<Group: The Beatles>]>


# Find all the members of the Beatles that joined after 1 Jan 1961
>>> Person.objects.filter(
...     group__name=""The Beatles"", membership__date_joined__gt=date(1961, 1, 1)
... )
<QuerySet [<Person: Ringo Starr]>


>>> ringos_membership = Membership.objects.get(group=beatles, person=ringo)
>>> ringos_membership.date_joined
datetime.date(1962, 8, 16)
>>> ringos_membership.invite_reason
'Needed a new drummer.'


>>> ringos_membership = ringo.membership_set.get(group=beatles)
>>> ringos_membership.date_joined
datetime.date(1962, 8, 16)
>>> ringos_membership.invite_reason
'Needed a new drummer.'"
models,Models across files,"It’s perfectly OK to relate a model to one from another app. To do this, import
the related model at the top of the file where your model is defined. Then,
refer to the other model class wherever needed. For example:

Alternatively, you can use a lazy reference to the related model, specified as
a string in the format ""app_label.ModelName"". This does not require the
related model to be imported. For example:

See lazy relationships for more details.","from django.db import models
from geography.models import ZipCode


class Restaurant(models.Model):
    # ...
    zip_code = models.ForeignKey(
        ZipCode,
        on_delete=models.SET_NULL,
        blank=True,
        null=True,
    )


from django.db import models


class Restaurant(models.Model):
    # ...
    zip_code = models.ForeignKey(
        ""geography.ZipCode"",
        on_delete=models.SET_NULL,
        blank=True,
        null=True,
    )"
